name,screen_name,party,total_tweets_found,tweets_by_politician,ratio
"Kiesewetter, Roderich",RKiesewetter,CDU,645,615,95.35
"Kindler, Sven-Christian",sven_kindler,Bündnis 90/Die Grünen,1860,1652,88.82
"Kipping, Katja",katjakipping,Die Linke,1071,915,85.43
"Kiziltepe, Cansel",CanselK,SPD,836,633,75.72
"Klare, Arno",arnoklare,SPD,49,48,97.96
"Klein, Volkmar",VolkmarKlein,CDU,4,3,75.0
"Klein-Schmeink, Maria",MariaKlSchmeink,Bündnis 90/Die Grünen,1914,1484,77.53
"Klingbeil, Lars",larsklingbeil,SPD,826,660,79.9
"Koeppen, Jens",JensKoeppen,CDU,58,54,93.1
"Kofler, Dr. Bärbel",BaerbelKofler,SPD,284,272,95.77
"Kolbe, Daniela",danielakolbe,SPD,766,734,95.82
"Koob, Markus",KoobMar,CDU,0,0,0
"Korte, Jan",jankortemdb,Die Linke,479,411,85.8
"Kotting-Uhl, Sylvia",KottingUhl,Bündnis 90/Die Grünen,27,25,92.59
"Kramme, Anette",AnetteKramme,SPD,1,1,100.0
"Krellmann, Jutta",JuttaKrellmann,Die Linke,77,55,71.43
"Krings, Dr. Günter",guenterkrings,CDU,0,0,0
"Krischer, Oliver",Oliver_Krischer,Bündnis 90/Die Grünen,351,297,84.62
"Kruse, Rüdiger",RuedigerKruse,CDU,59,58,98.31
"Kühn, Christian",ChrisKuehn_mdb,Bündnis 90/Die Grünen,424,328,77.36
"Kühn, Stephan",stephankuehn,Bündnis 90/Die Grünen,402,342,85.07
"Kühne, Dr. Roy",Dr_Roy_Kuehne,CDU,68,65,95.59
"Künast, Renate",RenateKuenast,Bündnis 90/Die Grünen,5976,4796,80.25
"Kurth, Markus",markuskurthmdb,Bündnis 90/Die Grünen,92,82,89.13
"Lange, Christian",LangeMdB,SPD,286,261,91.26
"Lange, Ulrich",UlrichLange,CSU,0,0,0
"Launert, Dr. Silke",DrLaunert,CSU,0,0,0
"Lauterbach, Dr. Karl",Karl_Lauterbach,SPD,3359,2696,80.26
"Lay, Caren",CarenLay,Die Linke,811,701,86.44
"Lazar, Monika",monikalazar,Bündnis 90/Die Grünen,375,332,88.53
"Leidig, Sabine",SabineLeidig,Die Linke,337,301,89.32
"Leikert, Dr. Katja",KLeikert,CDU,749,619,82.64
"Lemke, Steffi",SteffiLemke,Bündnis 90/Die Grünen,291,249,85.57
"Lenz, Dr. Andreas",DerLenzMdB,CSU,782,664,84.91
"Leutert, Michael",MichaelLeutert,Die Linke,11,10,90.91
"Liebich, Stefan",berlinliebich,Die Linke,2347,2153,91.73
"Lindholz, Andrea",AndreaLindholz,CSU,0,0,0
"Lindner, Dr. Tobias",tobiaslindner,Bündnis 90/Die Grünen,298,253,84.9
"Lötzsch, Dr. Gesine",LoetzschMdB,Die Linke,394,318,80.71
"Luczak, Dr. Jan-Marco",JM_Luczak,CDU,1030,882,85.63
"Lutze, Thomas",thlutze,Die Linke,0,0,0
"Magwas, Yvonne",YvonneMagwas,CDU,8,6,75.0
"Manderla, Gisela",ManderlaGisela,CDU,144,132,91.67
"Mattfeldt, Andreas",AMattfeldt,CDU,0,0,0
"Mattheis, Hilde",HildeMattheis,SPD,416,386,92.79
"Meister, Dr. Michael",meister_schafft,CDU,368,241,65.49
"Metzler, Jan",JanMetzler,CDU,0,0,0
"Michelbach, Dr. Hans",hans_michelbach,CSU,9,9,100.0
"Mihalic, Irene",IreneMihalic,Bündnis 90/Die Grünen,410,372,90.73
"Mindrup, Klaus",KlausMindrup,SPD,298,270,90.6
"Möhring, Cornelia",Conni_Moehring,Die Linke,654,527,80.58
"Möring, Karsten",KarstenMoering,CDU,11,9,81.82
"Movassat, Niema",NiemaMovassat,Die Linke,5085,4678,92.0
"Müller, Bettina",BetMueller,SPD,180,179,99.44
"Müller, Carsten",CarstenMuellers,CDU,0,0,0
"Müller, Stefan",smuellermdb,CSU,307,258,84.04
"Müller-Gemmeke, Beate",GrueneBeate,Bündnis 90/Die Grünen,204,164,80.39
"Müller, Norbert",Norbert_MdB,Die Linke,198,173,87.37
"Neu, Dr. Alexander",AlexanderSNeu,Die Linke,367,318,86.65
"Nick, Dr. Andreas",DrAndreasNick,CDU,521,440,84.45
"Nissen, Ulli",UlliNissen,SPD,1321,1081,81.83
"Nord, Thomas",NordMdb,Die Linke,370,349,94.32
"Notz, Dr. Konstantin von",KonstantinNotz,Bündnis 90/Die Grünen,1026,822,80.12
"Nouripour, Omid",nouripour,Bündnis 90/Die Grünen,733,552,75.31
"Oellers, Wilfried",WilfriedOellers,CDU,0,0,0
"Oppermann, Thomas",ThomasOppermann,SPD,140,124,88.57
"Oßner, Florian",Florian_Ossner,CSU,7,7,100.0
"Özdemir, Cem",cem_oezdemir,Bündnis 90/Die Grünen,1093,945,86.46
"Özdemir, Mahmut",oezdemir_spd,SPD,94,80,85.11
"Özoguz, Aydan",oezoguz,SPD,1189,1042,87.64
"Pantel, Sylvia",SylviaPantel,CDU,38,38,100.0
"Paschke, Markus",MarkusPaschke,SPD,41,41,100.0
"Pau, Petra",PetraPauMaHe,Die Linke,670,528,78.81
"Paus, Lisa",lisapaus,Bündnis 90/Die Grünen,850,788,92.71
"Petry, Christian",CPetryMdB,SPD,61,60,98.36
"Post, Achim",Achim_P,SPD,513,506,98.64
"Post, Florian",FlorianPost,SPD,244,232,95.08
"Pronold, Florian",FlorianPronold,SPD,68,54,79.41
"Rabanus, Martin",MartinRabanus,SPD,0,0,0
"Radwan, Alexander",AlexanderRadwan,CSU,0,0,0
"Rawert, Mechthild",MechthildRawert,SPD,78,78,100.0
"Renner, Martina",MartinaRenner,Die Linke,1618,1306,80.72
"Rimkus, Andreas",Andreas_Rimkus,SPD,707,611,86.42
"Rix, Sönke",SoenkeRix,SPD,544,478,87.87
"Rohde, Dennis",DennisRohde,SPD,283,260,91.87
"Rosemann, Dr. Martin",MartinRosemann,SPD,419,338,80.67
"Rossmann, Dr. Ernst Dieter",edrossmann,SPD,103,97,94.17
"Rößner, Tabea",TabeaRoessner,Bündnis 90/Die Grünen,624,535,85.74
"Roth, Michael",MiRo_SPD,SPD,2028,1756,86.59
"Rüddel, Erwin",Erwin_Rueddel,CDU,726,715,98.48
"Rüffer, Corinna",crueffer,Bündnis 90/Die Grünen,65,56,86.15
"Rüthrich, Susann",SusannRuethrich,SPD,0,0,0
"Saathoff, Johann",Johann_Saathoff,SPD,122,112,91.8
"Sarrazin, Manuel",ManuelSarrazin,Bündnis 90/Die Grünen,200,165,82.5
"Schauws, Ulle",ulle_schauws,Bündnis 90/Die Grünen,550,449,81.64
"Scheuer, Andreas",AndiScheuer,CSU,105,78,74.29
"Schiefner, Udo",UdoSchiefner,SPD,3,3,100.0
"Schimke, Jana",JanaSchimke,CDU,143,116,81.12
"Schipanski, Tankred",TSchipanski,CDU,443,323,72.91
"Schmidt, Dagmar",dieschmidt,SPD,40,30,75.0
"Schneider , Carsten",schneidercar,SPD,409,321,78.48
"Schnieder, Patrick",PSchnieder,CDU,128,86,67.19
"Schön, Nadine",NadineSchoen,CDU,210,153,72.86
"Schulz-Asche, Kordula",K_SA,Bündnis 90/Die Grünen,1770,1366,77.18
"Schummer, Uwe",UweSchummer,CDU,1352,1330,98.37
"Schuster, Armin",armin_schuster,CDU,110,100,90.91
"Schwabe, Frank",FrankSchwabe,SPD,685,680,99.27
"Schwartze, Stefan",s_schwartze,SPD,74,55,74.32
"Schwarz, Andreas",Schwarz_MdB,SPD,963,800,83.07
"Schwarzelühr-Sutter, Rita",rischwasu,SPD,419,278,66.35
"Sensburg, Prof. Dr. Patrick",PatrickSensburg,CDU,49,49,100.0
"Siebert, Bernd",BerndSiebert,CDU,10,9,90.0
"Sitte, Dr. Petra",Petra_Sitte_MdB,Die Linke,321,293,91.28
"Sorge, Tino",TinoSorge,CDU,305,254,83.28
"Spahn, Jens",jensspahn,CDU,336,314,93.45
"Spiering, Rainer",rainerspiering,SPD,0,0,0
"Stadler, Svenja",stadler_svenja,SPD,377,296,78.51
"Stamm-Fibich, Martina",stamm_fibich,SPD,31,28,90.32
"Steffel, Dr. Frank",franksteffel,CDU,33,33,100.0
"Steffen, Sonja",SteffenSonja,SPD,61,49,80.33
"Stefinger, Dr. Wolfgang",StefingerMdB,CSU,51,42,82.35
"Steineke, Sebastian",SteinekeCDU,CDU,2465,2163,87.75
"Steiniger, Johannes",JoSteiniger,CDU,731,649,88.78
"Stetten, Christian Freiherr von",Stettenchris,CDU,0,0,0
"Storjohann, Gero",gero_storjohann,CDU,135,128,94.81
"Strengmann-Kuhn, Dr. Wolfgang",W_SK,Bündnis 90/Die Grünen,377,282,74.8
"Tackmann, Dr. Kirsten",KirstenTackmann,Die Linke,806,570,70.72
"Tauber, Dr. Peter",petertauber,CDU,713,603,84.57
"Thews, Michael",michael_thews,SPD,408,406,99.51
"Träger, Carsten",CarstenTraeger,SPD,88,71,80.68
"Tressel, Markus",MarkusTressel,Bündnis 90/Die Grünen,225,201,89.33
"Trittin, Jürgen",JTrittin,Bündnis 90/Die Grünen,1015,867,85.42
"Ullrich, Dr. Volker",VolkerUllrich,CSU,386,341,88.34
"Verlinden, Dr. Julia",julia_verlinden,Bündnis 90/Die Grünen,514,454,88.33
"Vogler, Kathrin",voglerk,Die Linke,788,701,88.96
"Vogt, Ute",UteVogt,SPD,126,80,63.49
"Vries, Kees de",KEESdeVriesCDU,CDU,0,0,0
"Wagenknecht, Dr. Sahra",SWagenknecht,Die Linke,238,236,99.16
"Walter-Rosenheimer, Beate",BeateWaRo,Bündnis 90/Die Grünen,44,42,95.45
"Wadephul, Dr. Johann",JoWadephul,CDU,314,262,83.44
"Wanderwitz, Marco",wanderwitz,CDU,1545,1493,96.63
"Warken, Nina",ninawarken,CDU,116,79,68.1
"Weber, Gabi",GabiWeberSPD,SPD,13,10,76.92
"Wegner, Kai",kaiwegner,CDU,467,433,92.72
"Weinberg, Harald",HaraldWeinberg,Die Linke,0,0,0
"Weinberg, Marcus",MarcusWeinberg,CDU,208,194,93.27
"Weisgerber, Dr. Anja",anjaweisgerber,CSU,168,148,88.1
"Weiß, Peter",PeterWeissMdB,CDU,0,0,0
"Wellenreuther, Ingo",Wellenreuther,CDU,0,0,0
"Wendt, Marian",MdbWendt,CDU,488,426,87.3
"Werner, Katrin",Katrin_Werner,Die Linke,167,164,98.2
"Whittaker, Kai",Kai_Whittaker,CDU,544,435,79.96
"Widmann-Mauz, Annette",AWidmannMauz,CDU,581,397,68.33
"Wiese, Dirk",DirkWieseSPD,SPD,869,744,85.62
"Zdebel, Hubertus",ZdebelHubertus,Die Linke,103,91,88.35
"Zech, Tobias",TobiasZech,CSU,16,11,68.75
"Zierke, Stefan",zierke,SPD,0,0,0
"Zimmer, Prof. Dr. Matthias",matthiaszimmer,CDU,191,176,92.15
"Zimmermann, Dr. Jens",JensZSPD,SPD,1044,812,77.78
"Müller, Detlef",MuellerChemnitz,SPD,960,853,88.85
"Abercron, Dr. Michael von",mvabercron,CDU,119,106,89.08
"Achelwilm, Doris",DorisAchelwilm,Die Linke,526,400,76.05
"Akbulut, Gökay",AkbulutGokay,Die Linke,654,508,77.68
"Aschenberg-Dugnus, Christine",cad59,FDP,252,210,83.33
"Aumer, Peter",PeterAumer,CSU,4,4,100.0
"Badum, Lisa",badulrichmartha,Bündnis 90/Die Grünen,175,133,76.0
"Barrientos Krauss, Simone",SBarrientosK,Die Linke,318,264,83.02
"Bause, Margarete",MargareteBause,Bündnis 90/Die Grünen,164,127,77.44
"Bayaz, Dr. Danyal",DerDanyal,Bündnis 90/Die Grünen,1724,1420,82.37
"Bayram, Canan",LieblingXhain,Bündnis 90/Die Grünen,1425,1313,92.14
"Beeck, Jens",jensbeeck,FDP,48,43,89.58
"Bernhard, Marc",MarcBernhardAfD,AfD,375,364,97.07
"Bernstiel, Christoph",c_bernstiel,CDU,16,12,75.0
"Beutin, Lorenz Gösta",lgbeutin,Die Linke,3550,3248,91.49
"Beyer, Peter",Peter_Beyer,CDU,302,236,78.15
"Bleck, Andreas",andreasbleckmdb,AfD,100,100,100.0
"Boehringer, Peter",PeterBoehringer,AfD,111,110,99.1
"Brandenburg, Dr. Jens",JBrandenburgFDP,FDP,595,536,90.08
"Brandenburg, Mario",BraFDP,FDP,449,381,84.86
"Brandner, Stephan",StBrandner,AfD,5999,4372,72.88
"Brandt, Michel",michel_brandt_,Die Linke,703,554,78.81
"Brehm, Sebastian",Brehm_inNBGNord,CSU,1,1,100.0
"Breymaier, Leni",LeniBreymaier,SPD,439,406,92.48
"Brandl, Dr. Reinhard",reinhardbrandl,CSU,1,1,100.0
"Bühl, Marcus",Marcus_Buehl,AfD,184,184,100.0
"Bull-Bischoff, Birke",Birke_Bull,Die Linke,104,79,75.96
"Buschmann, Dr. Marco",MarcoBuschmann,FDP,5018,4787,95.4
"Büttner, Matthias",Buettner_MdB,AfD,85,85,100.0
"Bystron, Petr",PetrBystronAfD,AfD,916,775,84.61
"Cezanne, Jörg",joerg_cezanne,Die Linke,26,25,96.15
"Christmann, Dr. Anna",annachristmann,Bündnis 90/Die Grünen,382,329,86.13
"Cotar, Joana",JoanaCotar,AfD,2051,1857,90.54
"Curio, Dr. Gottfried",GottfriedCurio,AfD,133,132,99.25
"De Masi, Fabio",FabioDeMasi,Die Linke,6060,5733,94.6
"Domscheit-Berg, Anke",anked,Die Linke,3664,3113,84.96
"Chrupalla, Tino",Tino_Chrupalla,AfD,323,307,95.05
"Droese, Siegbert",Siegbert_Droese,AfD,0,0,0
"Dürr, Christian",christianduerr,FDP,492,376,76.42
"Ebbing, Hartmut",HartmutEbbing,FDP,198,161,81.31
"Ehrhorn, Thomas",Thomas_Ehrhorn,AfD,27,24,88.89
"Elsner von Gronow, Berengar",ElsnervonGronow,AfD,156,138,88.46
"Erndl, Thomas",TErndl,CSU,218,174,79.82
"Espendiller, Dr. Michael",DrMEspendiller,AfD,798,654,81.95
"Faber, Dr. Marcus",MarcusFaber,FDP,334,322,96.41
"Felser, Peter",PeterFelser,AfD,189,184,97.35
"Schmidt, Stefan",Schmidt_MdB,Bündnis 90/Die Grünen,106,87,82.08
"Föst, Daniel",DFoest,FDP,1767,1560,88.29
"Fricke, Otto",Otto_Fricke,FDP,2098,2011,95.85
"Friesen, Dr. Anton",DrFriesenMdB,AfD,431,407,94.43
"Frohnmaier, Markus",Frohnmaier_AfD,AfD,170,154,90.59
"Frömming, Dr. Götz",GtzFrmming,AfD,2274,1878,82.59
"Gabelmann, Sylvia",SylviaGabelmann,Die Linke,140,134,95.71
"Gehrke, Dr. Axel",axelgehrke,AfD,5,5,100.0
"Gelbhaar, Stefan",StefanGelbhaar,Bündnis 90/Die Grünen,858,780,90.91
"Gottberg, Wilhelm von",vonGottberg_AfD,AfD,0,0,0
"Gottschalk, Kay",KayGottschalk1,AfD,222,198,89.19
"Gremmels, Timon",Timon_Gremmels,SPD,877,798,90.99
"Jensen, Gyde",GydeJ,FDP,707,537,75.95
"Hacker, Thomas",hacker_fdp,FDP,266,210,78.95
"Hagl-Kehl, Rita",RitaHaglKehl,SPD,4,4,100.0
"Harder-Kühnel, Mariana",M_HarderKuehnel,AfD,81,76,93.83
"Hartwig, Dr. Roland",R_Hartwig_AfD,AfD,146,145,99.32
"Haug, Jochen",Jochen_Haug,AfD,5,4,80.0
"Helling-Plahr, Katrin",KatrinHelling,FDP,324,263,81.17
"Hemmelgarn, Udo",UdoHemmelgarn,AfD,1235,1177,95.3
"Henrichmann, Marc",MarcHenrichmann,CDU,264,235,89.02
"Herbst, Torsten",torstenherbst,FDP,456,430,94.3
"Herdt, Waldemar",WaldemarHerdt,AfD,0,0,0
"Herrmann, Lars",hermiworld,AfD,17,14,82.35
"Hess, Martin",Martin_Hess_AfD,AfD,245,233,95.1
"Hessel, Katja",fdp_hessel,FDP,84,75,89.29
"Höchst, Nicole",Nicole_Hoechst,AfD,167,157,94.01
"Höferlin, Manuel",ManuelHoeferlin,FDP,238,192,80.67
"Höhn, Matthias",MatthiasHoehn,Die Linke,521,393,75.43
"Holm, Leif-Erik",Leif_Erik_Holm,AfD,68,66,97.06
"Holtz, Ottmar von",OWvonHoltz,Bündnis 90/Die Grünen,117,103,88.03
"Houben, Reinhard",HoubenReinhard,FDP,146,115,78.77
"Jongen, Dr. Marc",Marc_Jongen,AfD,70,58,82.86
"Jung, Dr. Christian",c_jung77,FDP,1853,1575,85.0
"Jung, Ingmar",Ingmar_Jung,CDU,11,8,72.73
"Juratovic, Josip",josip_juratovic,SPD,66,61,92.42
"Kaiser, Elisabeth",Kaiser_SPD,SPD,273,234,85.71
"Kartes, Torbjörn",KartesMdB,CDU,26,22,84.62
"Katzmarek, Gabriele",GabyKatzmarek,SPD,22,18,81.82
"Kessler, Dr. Achim",AchimKesslerMdB,Die Linke,875,721,82.4
"Kestner, Jens",KestnerJens,AfD,316,253,80.06
"Keuter, Stefan",StefanKeuterAfD,AfD,0,0,0
"Kleinwächter, Norbert",NKleinwaechter,AfD,149,144,96.64
"Kluckert, Daniela",DanielaKluckert,FDP,518,430,83.01
"Kober, Pascal",PascalKober,FDP,91,59,64.84
"Köhler, Dr. Lukas",koehler_fdp,FDP,525,459,87.43
"Komning, Enrico",EnricoKomning,AfD,25,22,88.0
"Konrad, Carina",carina_konrad,FDP,510,414,81.18
"Korkmaz-Emre, Elvan",KorkmazGT,SPD,232,197,84.91
"Kotré, Steffen",SteffenKotre,AfD,180,155,86.11
"Krauß, Alexander",kraussalex,CDU,0,0,0
"Kuffer, Michael",MichaelKuffer,CSU,12,10,83.33
"Kuhle, Konstantin Elias",KonstantinKuhle,FDP,1858,1585,85.31
"Lambsdorff, Alexander Graf",Lambsdorff,FDP,1268,1042,82.18
"Lehmann, Sven",svenlehmann,Bündnis 90/Die Grünen,972,913,93.93
"Lindh, Helge",helgelindh,SPD,271,248,91.51
"Lindner, Christian",c_lindner,FDP,1294,1211,93.59
"Link, Michael",michael_g_link,FDP,160,133,83.12
"Löbel, Nikolas",NikolasLoebel,CDU,220,191,86.82
"Lucassen, Rüdiger",MdB_Lucassen,AfD,26,26,100.0
"Luksic, Oliver",OlliLuksic,FDP,2911,2624,90.14
"Maas, Heiko",HeikoMaas,SPD,709,672,94.78
"Maier, Jens",JensMaierAfD,AfD,419,403,96.18
"Maier, Prof. Dr. Lothar",ProfMaier,AfD,118,117,99.15
"Matschie, Christoph",matschie,SPD,92,74,80.43
"Meiser, Pascal",pascalmeiser,Die Linke,243,187,76.95
"Meyer, Christoph",ChristophFDP,FDP,1216,1136,93.42
"Miazga, Corinna",CorinnaMiazga,AfD,79,77,97.47
"Mohrs, Falko",FalkoMohrs,SPD,69,55,79.71
"Mrosek, Andreas",mrosek1958,AfD,290,275,94.83
"Müller, Claudia",GruenClaudia,Bündnis 90/Die Grünen,887,690,77.79
"Müller, Sepp",mueller_sepp,CDU,580,400,68.97
"Müller-Böhm, Roman",muellerboehm,FDP,4,4,100.0
"Münzenmaier, Sebastian",S_Muenzenmaier,AfD,461,440,95.44
"Nastic, Zaklin",ZaklinNastic,Die Linke,507,435,85.8
"Freihold, Brigitte",MdB_Freihold,Die Linke,297,230,77.44
"Nestle, Dr. Ingrid",Ingrid_Nestle,Bündnis 90/Die Grünen,502,412,82.07
"Neumann, Christoph",Neumann_AfD,AfD,0,0,0
"Nolte, Jan",Jan_Nolte_AfD,AfD,126,115,91.27
"Oehme, Ulrich",Ulrich_Oehme,AfD,0,0,0
"Ortleb, Josephine",joloulou,SPD,45,40,88.89
"Oster, Josef",josefoster,CDU,0,0,0
"Pasemann, Frank",Frank_Pasemann,AfD,514,398,77.43
"Pellmann, Sören",LINKEPELLI,Die Linke,857,789,92.07
"Perli, Victor",victorperli,Die Linke,764,687,89.92
"Peterka, Tobias",TobiasMPeterka,AfD,483,482,99.79
"Petry, Dr. Frauke",FraukePetry,Fraktionslos,640,587,91.72
"Pflüger, Tobias",tpflueger,Die Linke,127,110,86.61
"Pilsinger, Stephan",StephPilsinger,CSU,13,13,100.0
"Podolay, Paul Viktor",Paul_Podolay,AfD,3,3,100.0
"Pohl, Jürgen",Pohl_MdB,AfD,79,63,79.75
"Polat, Filiz",filizgreen,Bündnis 90/Die Grünen,655,557,85.04
"Protschka, Stephan",AfDProtschka,AfD,1093,956,87.47
"Reichardt, Martin",M_Reichardt_AfD,AfD,828,724,87.44
"Remmers, Ingrid",Ingrid_Remmers,Die Linke,53,44,83.02
"Renner, Martin Erwin",Renner_AfD,AfD,214,199,92.99
"Riexinger, Bernd",b_riexinger,Die Linke,588,546,92.86
"Reuther, Bernd",reuther_bernd,FDP,168,129,76.79
"Ullrich, Gerald",G_UllrichFDP,FDP,475,379,79.79
"Rouenhoff, Stefan",StefanRouenhoff,CDU,28,22,78.57
"Sattelberger, Thomas",th_sattelberger,FDP,2514,2117,84.21
"Schäfer, Anita",SchaeferCDU,CDU,0,0,0
"Schäffler, Frank",f_schaeffler,FDP,1018,844,82.91
"Scheer, Nina",NinaScheer_SPD,SPD,44,34,77.27
"Schielke-Ziesing, Ulrike",ulschzi,AfD,335,312,93.13
"Schinnenburg, Dr. Wieland",WSchinnenburg,FDP,235,207,88.09
"Schmid, Dr. Nils",NilsSchmid,SPD,500,477,95.4
"Schneider, Jörg",Schneider_AfD,AfD,376,348,92.55
"Schraps, Johannes",jschraps,SPD,45,37,82.22
"Schreiner, Felix",felixschreiner,CDU,97,77,79.38
