name,screen_name,party,total_tweets,covid_tweets
"Koob, Markus",KoobMar,CDU,0,0
"Korte, Jan",jankortemdb,Die Linke,411,67
"Kotting-Uhl, Sylvia",KottingUhl,Bündnis 90/Die Grünen,25,2
"Kramme, Anette",AnetteKramme,SPD,1,0
"Krellmann, Jutta",JuttaKrellmann,Die Linke,55,9
"Krings, Dr. Günter",guenterkrings,CDU,0,0
"Krischer, Oliver",Oliver_Krischer,Bündnis 90/Die Grünen,299,19
"Kruse, Rüdiger",RuedigerKruse,CDU,58,8
"Kühn, Christian",ChrisKuehn_mdb,Bündnis 90/Die Grünen,330,57
"Kühn, Stephan",stephankuehn,Bündnis 90/Die Grünen,341,23
"Kühne, Dr. Roy",Dr_Roy_Kuehne,CDU,65,19
"Künast, Renate",RenateKuenast,Bündnis 90/Die Grünen,4811,418
"Kurth, Markus",markuskurthmdb,Bündnis 90/Die Grünen,82,19
"Lange, Christian",LangeMdB,SPD,261,40
"Lange, Ulrich",UlrichLange,CSU,0,0
"Launert, Dr. Silke",DrLaunert,CSU,0,0
"Lauterbach, Dr. Karl",Karl_Lauterbach,SPD,2714,1764
"Lay, Caren",CarenLay,Die Linke,702,160
"Lazar, Monika",monikalazar,Bündnis 90/Die Grünen,332,26
"Leidig, Sabine",SabineLeidig,Die Linke,302,49
"Leikert, Dr. Katja",KLeikert,CDU,623,135
"Lemke, Steffi",SteffiLemke,Bündnis 90/Die Grünen,249,16
"Lenz, Dr. Andreas",DerLenzMdB,CSU,663,119
"Leutert, Michael",MichaelLeutert,Die Linke,10,3
"Liebich, Stefan",berlinliebich,Die Linke,2150,150
"Lindholz, Andrea",AndreaLindholz,CSU,0,0
"Lindner, Dr. Tobias",tobiaslindner,Bündnis 90/Die Grünen,250,14
"Lötzsch, Dr. Gesine",LoetzschMdB,Die Linke,322,44
"Luczak, Dr. Jan-Marco",JM_Luczak,CDU,890,92
"Lutze, Thomas",thlutze,Die Linke,0,0
"Magwas, Yvonne",YvonneMagwas,CDU,6,0
"Manderla, Gisela",ManderlaGisela,CDU,132,25
"Mattfeldt, Andreas",AMattfeldt,CDU,0,0
"Mattheis, Hilde",HildeMattheis,SPD,387,82
"Meister, Dr. Michael",meister_schafft,CDU,243,23
"Metzler, Jan",JanMetzler,CDU,0,0
"Michelbach, Dr. Hans",hans_michelbach,CSU,9,2
"Mihalic, Irene",IreneMihalic,Bündnis 90/Die Grünen,372,18
"Mindrup, Klaus",KlausMindrup,SPD,296,33
"Möhring, Cornelia",Conni_Moehring,Die Linke,531,73
"Möring, Karsten",KarstenMoering,CDU,9,0
"Movassat, Niema",NiemaMovassat,Die Linke,4739,648
"Müller, Bettina",BetMueller,SPD,180,44
"Müller, Carsten",CarstenMuellers,CDU,0,0
"Müller, Stefan",smuellermdb,CSU,257,22
"Müller-Gemmeke, Beate",GrueneBeate,Bündnis 90/Die Grünen,166,32
"Müller, Norbert",Norbert_MdB,Die Linke,178,16
"Neu, Dr. Alexander",AlexanderSNeu,Die Linke,317,18
"Nick, Dr. Andreas",DrAndreasNick,CDU,441,28
"Nissen, Ulli",UlliNissen,SPD,1086,112
"Nord, Thomas",NordMdb,Die Linke,358,41
"Notz, Dr. Konstantin von",KonstantinNotz,Bündnis 90/Die Grünen,817,99
"Nouripour, Omid",nouripour,Bündnis 90/Die Grünen,555,33
"Oellers, Wilfried",WilfriedOellers,CDU,0,0
"Oppermann, Thomas",ThomasOppermann,SPD,124,24
"Oßner, Florian",Florian_Ossner,CSU,7,1
"Özdemir, Cem",cem_oezdemir,Bündnis 90/Die Grünen,949,134
"Özdemir, Mahmut",oezdemir_spd,SPD,80,5
"Özoguz, Aydan",oezoguz,SPD,1051,67
"Pantel, Sylvia",SylviaPantel,CDU,38,10
"Paschke, Markus",MarkusPaschke,SPD,41,9
"Pau, Petra",PetraPauMaHe,Die Linke,533,45
"Paus, Lisa",lisapaus,Bündnis 90/Die Grünen,790,79
"Petry, Christian",CPetryMdB,SPD,60,5
"Post, Achim",Achim_P,SPD,509,84
"Post, Florian",FlorianPost,SPD,234,30
"Pronold, Florian",FlorianPronold,SPD,54,7
"Rabanus, Martin",MartinRabanus,SPD,0,0
"Radwan, Alexander",AlexanderRadwan,CSU,0,0
"Rawert, Mechthild",MechthildRawert,SPD,78,9
"Renner, Martina",MartinaRenner,Die Linke,1316,92
"Rimkus, Andreas",Andreas_Rimkus,SPD,615,39
"Rix, Sönke",SoenkeRix,SPD,480,73
"Rohde, Dennis",DennisRohde,SPD,261,7
"Rosemann, Dr. Martin",MartinRosemann,SPD,338,55
"Rossmann, Dr. Ernst Dieter",edrossmann,SPD,97,14
"Rößner, Tabea",TabeaRoessner,Bündnis 90/Die Grünen,547,74
"Roth, Michael",MiRo_SPD,SPD,1767,283
"Rüddel, Erwin",Erwin_Rueddel,CDU,717,241
"Rüffer, Corinna",crueffer,Bündnis 90/Die Grünen,56,13
"Rüthrich, Susann",SusannRuethrich,SPD,0,0
"Saathoff, Johann",Johann_Saathoff,SPD,112,3
"Sarrazin, Manuel",ManuelSarrazin,Bündnis 90/Die Grünen,165,10
"Schauws, Ulle",ulle_schauws,Bündnis 90/Die Grünen,451,32
"Scheuer, Andreas",AndiScheuer,CSU,78,14
"Schiefner, Udo",UdoSchiefner,SPD,3,0
"Schimke, Jana",JanaSchimke,CDU,117,30
"Schipanski, Tankred",TSchipanski,CDU,324,47
"Schmidt, Dagmar",dieschmidt,SPD,30,3
"Schneider , Carsten",schneidercar,SPD,326,33
"Schnieder, Patrick",PSchnieder,CDU,86,5
"Schön, Nadine",NadineSchoen,CDU,153,3
"Schulz-Asche, Kordula",K_SA,Bündnis 90/Die Grünen,1369,352
"Schummer, Uwe",UweSchummer,CDU,1365,169
"Schuster, Armin",armin_schuster,CDU,101,19
"Schwabe, Frank",FrankSchwabe,SPD,690,47
"Schwartze, Stefan",s_schwartze,SPD,55,10
"Schwarz, Andreas",Schwarz_MdB,SPD,801,49
"Schwarzelühr-Sutter, Rita",rischwasu,SPD,279,30
"Sensburg, Prof. Dr. Patrick",PatrickSensburg,CDU,49,7
"Siebert, Bernd",BerndSiebert,CDU,9,1
"Sitte, Dr. Petra",Petra_Sitte_MdB,Die Linke,295,33
"Sorge, Tino",TinoSorge,CDU,254,106
"Spahn, Jens",jensspahn,CDU,314,158
"Spiering, Rainer",rainerspiering,SPD,0,0
"Stadler, Svenja",stadler_svenja,SPD,299,10
"Stamm-Fibich, Martina",stamm_fibich,SPD,28,4
"Steffel, Dr. Frank",franksteffel,CDU,34,2
"Steffen, Sonja",SteffenSonja,SPD,49,7
"Stefinger, Dr. Wolfgang",StefingerMdB,CSU,42,9
"Steineke, Sebastian",SteinekeCDU,CDU,2188,245
"Steiniger, Johannes",JoSteiniger,CDU,651,45
"Storjohann, Gero",gero_storjohann,CDU,128,19
"Strengmann-Kuhn, Dr. Wolfgang",W_SK,Bündnis 90/Die Grünen,283,28
"Tackmann, Dr. Kirsten",KirstenTackmann,Die Linke,570,17
"Tauber, Dr. Peter",petertauber,CDU,605,17
"Thews, Michael",michael_thews,SPD,406,90
"Träger, Carsten",CarstenTraeger,SPD,72,8
"Tressel, Markus",MarkusTressel,Bündnis 90/Die Grünen,201,38
"Trittin, Jürgen",JTrittin,Bündnis 90/Die Grünen,869,123
"Ullrich, Dr. Volker",VolkerUllrich,CSU,344,30
"Verlinden, Dr. Julia",julia_verlinden,Bündnis 90/Die Grünen,456,16
"Vogler, Kathrin",voglerk,Die Linke,701,62
"Vogt, Ute",UteVogt,SPD,80,5
"Vries, Kees de",KEESdeVriesCDU,CDU,0,0
"Wagenknecht, Dr. Sahra",SWagenknecht,Die Linke,236,90
"Walter-Rosenheimer, Beate",BeateWaRo,Bündnis 90/Die Grünen,42,3
"Wadephul, Dr. Johann",JoWadephul,CDU,268,10
"Wanderwitz, Marco",wanderwitz,CDU,1504,133
"Warken, Nina",ninawarken,CDU,79,1
"Weber, Gabi",GabiWeberSPD,SPD,10,1
"Wegner, Kai",kaiwegner,CDU,435,83
"Weinberg, Harald",HaraldWeinberg,Die Linke,0,0
"Weinberg, Marcus",MarcusWeinberg,CDU,194,36
"Weisgerber, Dr. Anja",anjaweisgerber,CSU,148,29
"Weiß, Peter",PeterWeissMdB,CDU,0,0
"Wellenreuther, Ingo",Wellenreuther,CDU,0,0
"Wendt, Marian",MdbWendt,CDU,430,55
"Werner, Katrin",Katrin_Werner,Die Linke,164,33
"Whittaker, Kai",Kai_Whittaker,CDU,435,97
"Widmann-Mauz, Annette",AWidmannMauz,CDU,397,51
"Wiese, Dirk",DirkWieseSPD,SPD,746,85
"Zdebel, Hubertus",ZdebelHubertus,Die Linke,91,32
"Zech, Tobias",TobiasZech,CSU,11,2
"Zierke, Stefan",zierke,SPD,0,0
"Zimmer, Prof. Dr. Matthias",matthiaszimmer,CDU,176,7
"Zimmermann, Dr. Jens",JensZSPD,SPD,815,100
"Müller, Detlef",MuellerChemnitz,SPD,854,80
"Abercron, Dr. Michael von",mvabercron,CDU,106,17
"Achelwilm, Doris",DorisAchelwilm,Die Linke,400,52
"Akbulut, Gökay",AkbulutGokay,Die Linke,509,69
"Aschenberg-Dugnus, Christine",cad59,FDP,211,81
"Aumer, Peter",PeterAumer,CSU,4,0
"Badum, Lisa",badulrichmartha,Bündnis 90/Die Grünen,133,8
"Barrientos Krauss, Simone",SBarrientosK,Die Linke,266,42
"Bause, Margarete",MargareteBause,Bündnis 90/Die Grünen,131,9
"Bayaz, Dr. Danyal",DerDanyal,Bündnis 90/Die Grünen,1437,181
"Bayram, Canan",LieblingXhain,Bündnis 90/Die Grünen,1317,179
"Beeck, Jens",jensbeeck,FDP,43,15
"Bernhard, Marc",MarcBernhardAfD,AfD,365,88
"Bernstiel, Christoph",c_bernstiel,CDU,12,3
"Beutin, Lorenz Gösta",lgbeutin,Die Linke,3283,451
"Beyer, Peter",Peter_Beyer,CDU,236,60
"Bleck, Andreas",AndreasBleckMdB,AfD,102,8
"Boehringer, Peter",PeterBoehringer,AfD,110,55
"Brandenburg, Dr. Jens",JBrandenburgFDP,FDP,536,43
"Brandenburg, Mario",BraFDP,FDP,385,52
"Brandner, Stephan",StBrandner,AfD,4382,218
"Brandt, Michel",michel_brandt_,Die Linke,554,56
"Brehm, Sebastian",Brehm_inNBGNord,CSU,1,1
"Breymaier, Leni",LeniBreymaier,SPD,410,41
"Brandl, Dr. Reinhard",reinhardbrandl,CSU,1,0
"Bühl, Marcus",Marcus_Buehl,AfD,185,27
"Bull-Bischoff, Birke",Birke_Bull,Die Linke,79,8
"Buschmann, Dr. Marco",MarcoBuschmann,FDP,4797,448
"Büttner, Matthias",Buettner_MdB,AfD,85,25
"Bystron, Petr",PetrBystronAfD,AfD,768,37
"Cezanne, Jörg",joerg_cezanne,Die Linke,25,0
"Christmann, Dr. Anna",annachristmann,Bündnis 90/Die Grünen,334,81
"Cotar, Joana",JoanaCotar,AfD,1869,245
"Curio, Dr. Gottfried",GottfriedCurio,AfD,132,19
"De Masi, Fabio",FabioDeMasi,Die Linke,5823,695
"Domscheit-Berg, Anke",anked,Die Linke,3146,622
"Chrupalla, Tino",Tino_Chrupalla,AfD,308,84
"Droese, Siegbert",Siegbert_Droese,AfD,0,0
"Dürr, Christian",christianduerr,FDP,377,52
"Ebbing, Hartmut",HartmutEbbing,FDP,161,34
"Ehrhorn, Thomas",Thomas_Ehrhorn,AfD,24,0
"Elsner von Gronow, Berengar",ElsnervonGronow,AfD,138,18
"Erndl, Thomas",TErndl,CSU,174,20
"Espendiller, Dr. Michael",DrMEspendiller,AfD,653,87
"Faber, Dr. Marcus",MarcusFaber,FDP,323,28
"Felser, Peter",PeterFelser,AfD,184,47
"Schmidt, Stefan",Schmidt_MdB,Bündnis 90/Die Grünen,88,4
"Föst, Daniel",DFoest,FDP,1566,178
"Fricke, Otto",Otto_Fricke,FDP,2075,57
"Friesen, Dr. Anton",DrFriesenMdB,AfD,407,112
"Frohnmaier, Markus",Frohnmaier_AfD,AfD,154,23
"Frömming, Dr. Götz",GtzFrmming,AfD,1884,254
"Gabelmann, Sylvia",SylviaGabelmann,Die Linke,134,39
"Gehrke, Dr. Axel",axelgehrke,AfD,5,2
"Gelbhaar, Stefan",StefanGelbhaar,Bündnis 90/Die Grünen,780,48
"Gottberg, Wilhelm von",vonGottberg_AfD,AfD,0,0
"Gottschalk, Kay",KayGottschalk1,AfD,199,16
"Gremmels, Timon",Timon_Gremmels,SPD,809,83
"Jensen, Gyde",GydeJ,FDP,542,66
"Hacker, Thomas",hacker_fdp,FDP,210,41
"Hagl-Kehl, Rita",RitaHaglKehl,SPD,4,2
"Harder-Kühnel, Mariana",M_HarderKuehnel,AfD,76,7
"Hartwig, Dr. Roland",R_Hartwig_AfD,AfD,147,9
"Haug, Jochen",Jochen_Haug,AfD,4,1
"Helling-Plahr, Katrin",KatrinHelling,FDP,265,30
"Hemmelgarn, Udo",UdoHemmelgarn,AfD,1173,316
"Henrichmann, Marc",MarcHenrichmann,CDU,236,52
"Herbst, Torsten",torstenherbst,FDP,436,111
"Herdt, Waldemar",WaldemarHerdt,AfD,0,0
"Herrmann, Lars",hermiworld,AfD,14,1
"Hess, Martin",Martin_Hess_AfD,AfD,234,27
"Hessel, Katja",fdp_hessel,FDP,75,18
"Höchst, Nicole",Nicole_Hoechst,AfD,160,31
"Höferlin, Manuel",ManuelHoeferlin,FDP,192,28
"Höhn, Matthias",MatthiasHoehn,Die Linke,394,29
"Holm, Leif-Erik",Leif_Erik_Holm,AfD,66,13
"Holtz, Ottmar von",OWvonHoltz,Bündnis 90/Die Grünen,103,9
"Houben, Reinhard",HoubenReinhard,FDP,116,14
"Jongen, Dr. Marc",Marc_Jongen,AfD,58,15
"Jung, Dr. Christian",c_jung77,FDP,1578,257
"Jung, Ingmar",Ingmar_Jung,CDU,8,1
"Juratovic, Josip",josip_juratovic,SPD,61,5
"Kaiser, Elisabeth",Kaiser_SPD,SPD,235,33
"Kartes, Torbjörn",KartesMdB,CDU,22,4
"Katzmarek, Gabriele",GabyKatzmarek,SPD,19,0
"Kessler, Dr. Achim",AchimKesslerMdB,Die Linke,691,181
"Kestner, Jens",KestnerJens,AfD,251,11
"Keuter, Stefan",StefanKeuterAfD,AfD,0,0
"Kleinwächter, Norbert",NKleinwaechter,AfD,145,45
"Kluckert, Daniela",DanielaKluckert,FDP,432,96
"Kober, Pascal",PascalKober,FDP,62,11
"Köhler, Dr. Lukas",koehler_fdp,FDP,459,23
"Komning, Enrico",EnricoKomning,AfD,30,3
"Konrad, Carina",carina_konrad,FDP,415,79
"Korkmaz-Emre, Elvan",KorkmazGT,SPD,197,10
"Kotré, Steffen",SteffenKotre,AfD,155,16
"Krauß, Alexander",kraussalex,CDU,0,0
"Kuffer, Michael",MichaelKuffer,CSU,10,0
"Kuhle, Konstantin Elias",KonstantinKuhle,FDP,1611,173
"Lambsdorff, Alexander Graf",Lambsdorff,FDP,1045,99
"Lehmann, Sven",svenlehmann,Bündnis 90/Die Grünen,917,100
"Lindh, Helge",helgelindh,SPD,248,46
"Lindner, Christian",c_lindner,FDP,1212,229
"Link, Michael",michael_g_link,FDP,133,16
"Löbel, Nikolas",NikolasLoebel,CDU,191,26
"Lucassen, Rüdiger",MdB_Lucassen,AfD,26,6
"Luksic, Oliver",OlliLuksic,FDP,2639,484
"Maas, Heiko",HeikoMaas,SPD,674,178
"Maier, Jens",JensMaierAfD,AfD,405,59
"Maier, Prof. Dr. Lothar",ProfMaier,AfD,117,29
"Matschie, Christoph",matschie,SPD,74,8
"Meiser, Pascal",pascalmeiser,Die Linke,187,46
"Meyer, Christoph",ChristophFDP,FDP,1148,134
"Miazga, Corinna",CorinnaMiazga,AfD,78,29
"Mohrs, Falko",FalkoMohrs,SPD,55,6
"Mrosek, Andreas",mrosek1958,AfD,278,19
"Müller, Claudia",GruenClaudia,Bündnis 90/Die Grünen,692,57
"Müller, Sepp",mueller_sepp,CDU,406,57
"Müller-Böhm, Roman",muellerboehm,FDP,4,3
"Münzenmaier, Sebastian",S_Muenzenmaier,AfD,440,137
"Nastic, Zaklin",ZaklinNastic,Die Linke,434,60
"Freihold, Brigitte",MdB_Freihold,Die Linke,230,48
"Nestle, Dr. Ingrid",Ingrid_Nestle,Bündnis 90/Die Grünen,412,39
"Neumann, Christoph",Neumann_AfD,AfD,0,0
"Nolte, Jan",Jan_Nolte_AfD,AfD,115,5
"Oehme, Ulrich",Ulrich_Oehme,AfD,0,0
"Ortleb, Josephine",joloulou,SPD,42,5
"Oster, Josef",josefoster,CDU,2,0
"Pasemann, Frank",Frank_Pasemann,AfD,397,31
"Pellmann, Sören",LINKEPELLI,Die Linke,797,125
"Perli, Victor",victorperli,Die Linke,690,94
"Peterka, Tobias",TobiasMPeterka,AfD,482,114
"Petry, Dr. Frauke",FraukePetry,Fraktionslos,588,57
"Pflüger, Tobias",tpflueger,Die Linke,110,11
"Pilsinger, Stephan",StephPilsinger,CSU,13,7
"Podolay, Paul Viktor",Paul_Podolay,AfD,3,1
"Pohl, Jürgen",Pohl_MdB,AfD,63,10
"Polat, Filiz",filizgreen,Bündnis 90/Die Grünen,558,67
"Protschka, Stephan",AfDProtschka,AfD,966,182
"Reichardt, Martin",M_Reichardt_AfD,AfD,816,115
"Remmers, Ingrid",Ingrid_Remmers,Die Linke,44,2
"Renner, Martin Erwin",Renner_AfD,AfD,199,25
"Riexinger, Bernd",b_riexinger,Die Linke,558,117
"Reuther, Bernd",reuther_bernd,FDP,129,21
"Ullrich, Gerald",G_UllrichFDP,FDP,379,94
"Rouenhoff, Stefan",StefanRouenhoff,CDU,21,1
"Sattelberger, Thomas",th_sattelberger,FDP,2119,258
"Schäfer, Anita",SchaeferCDU,CDU,0,0
"Schäffler, Frank",f_schaeffler,FDP,847,94
"Scheer, Nina",NinaScheer_SPD,SPD,34,5
"Schielke-Ziesing, Ulrike",ulschzi,AfD,316,62
"Schinnenburg, Dr. Wieland",WSchinnenburg,FDP,211,40
"Schmid, Dr. Nils",NilsSchmid,SPD,480,80
"Schneider, Jörg",Schneider_AfD,AfD,348,42
"Schraps, Johannes",jschraps,SPD,37,4
"Schreiner, Felix",felixschreiner,CDU,78,20
"Schrodi, Michael",mischrodi,SPD,211,19
"Schulz, Martin",MartinSchulz,SPD,47,13
"Schulz, Uwe",Uwe_Schulz_AfD,AfD,25,8
"Schweiger, Torsten",cdu_schweiger,CDU,14,2
"Seitz, Thomas",Th_Seitz_AfD,AfD,14,0
"Sichert, Martin",Martin_Sichert,AfD,247,52
"Simon, Björn",BjoernSimon,CDU,56,25
"Sitta, Frank",franksitta,FDP,22,2
"Solms, Dr. Hermann Otto",solms,FDP,100,11
"Sommer, Evrim",HESommer,Die Linke,830,152
"Spaniel, Dr. Dirk",DirkSpaniel,AfD,74,18
"Mieruch, Mario",MieruchMario,Fraktionslos,5183,257
"Staffler, Katrin",katrin_staffler,CSU,38,7
"Stark-Watzinger, Bettina",starkwatzinger,FDP,707,123
"Steier, Andreas",AndreasSteier,CDU,255,45
"Stein, Jens Mathias",stonie_kiel,SPD,437,12
"Stein, Peter",Peter_Stein_CDU,CDU,316,49
"Storch, Beatrix von",Beatrix_vStorch,AfD,414,100
"Strack-Zimmermann, Dr. Marie-Agnes",MAStrackZi,FDP,2595,96
"Strasser, Benjamin",bstrasser,FDP,376,41
"Suding, Katja",KatjaSuding,FDP,473,116
"Teuteberg, Linda",LindaTeuteberg,FDP,208,26
"Theurer, Michael",EUTheurer,FDP,379,62
"Thomae, Stephan",StephanThomae,FDP,537,95
"Tiemann, Dr. Dietlind",dr_tiemann,CDU,0,0
"Todtenhausen, Manfred",MTodtenhausen,FDP,49,8
"Toncar, Dr. Florian",florian_toncar,FDP,358,30
"Töns, Markus",Toens_NRW04,SPD,223,4
"Uhl, Markus",uhl_markus,CDU,1,1
"Ullmann, Prof. Dr. Andrew",UllmannMdB,FDP,822,343
"Vogel, Johannes",johannesvogel,FDP,2226,89
"Wagner, Andreas",Andi_Wagner,Die Linke,301,66
"Wagner, Daniela",DanyWagner_DA,Bündnis 90/Die Grünen,169,14
"Weeser, Sandra",sandra_weeser,FDP,2142,223
"Weidel, Dr. Alice",Alice_Weidel,AfD,325,119
"Weyel, Prof. Dr. Harald",h_weyel,AfD,821,48
"Wildberg, Dr. Heiko",Heiko_Wildberg,AfD,0,0
"Wirth, Dr. Christian Friedrich",ChrWirthMdB,AfD,63,3
"Witt, Uwe",Witt_Uwe,AfD,229,60
"Ziemiak, Paul",PaulZiemiak,CDU,573,103
"Braun, Jürgen",JuergenBraunAfD,AfD,1451,295
"Jacobi, Fabian",Jacobi_AfD,AfD,352,3
"König, Jörn",JoernKoenigAfD,AfD,0,0
"Magnitz, Frank",Frank_Magnitz,AfD,2,0
"Springer, René",Rene_Springer,AfD,75,9
"Kraft, Dr. Rainer",Dr_Rainer_Kraft,AfD,404,23
"Hoffmann, Dr. Bettina",bhoffmann_mdb,Bündnis 90/Die Grünen,200,6
"Kappert-Gonther, Dr. Kirsten",KirstenKappert,Bündnis 90/Die Grünen,250,34
"Keul, Katja",KatjaKeul,Bündnis 90/Die Grünen,135,3
"Stumpp, Margit",margit_stumpp,Bündnis 90/Die Grünen,483,61
"Biadacz, Marc",MBiadaczMdB,CDU,191,39
"Knoerig, Axel",axel_knoerig,CDU,16,2
"Mast, Katja",KatjaMast,SPD,831,139
"Müntefering, Michelle",Mi_Muentefering,SPD,610,61
