name,screen_name,party,total_tweets,covid_tweets,ratio
"Kindler, Sven-Christian",sven_kindler,Bündnis 90/Die Grünen,1652,144,8.72
"Kipping, Katja",katjakipping,Die Linke,915,179,19.56
"Kiziltepe, Cansel",CanselK,SPD,633,49,7.74
"Klare, Arno",arnoklare,SPD,48,14,29.17
"Klein, Volkmar",VolkmarKlein,CDU,3,1,33.33
"Klein-Schmeink, Maria",MariaKlSchmeink,Bündnis 90/Die Grünen,1484,396,26.68
"Klingbeil, Lars",larsklingbeil,SPD,660,35,5.3
"Koeppen, Jens",JensKoeppen,CDU,54,5,9.26
"Kofler, Dr. Bärbel",BaerbelKofler,SPD,272,10,3.68
"Kolbe, Daniela",danielakolbe,SPD,734,56,7.63
"Koob, Markus",KoobMar,CDU,0,0,0
"Korte, Jan",jankortemdb,Die Linke,411,61,14.84
"Kotting-Uhl, Sylvia",KottingUhl,Bündnis 90/Die Grünen,25,2,8.0
"Kramme, Anette",AnetteKramme,SPD,1,0,0
"Krellmann, Jutta",JuttaKrellmann,Die Linke,55,9,16.36
"Krings, Dr. Günter",guenterkrings,CDU,0,0,0
"Krischer, Oliver",Oliver_Krischer,Bündnis 90/Die Grünen,297,16,5.39
"Kruse, Rüdiger",RuedigerKruse,CDU,58,8,13.79
"Kühn, Christian",ChrisKuehn_mdb,Bündnis 90/Die Grünen,328,34,10.37
"Kühn, Stephan",stephankuehn,Bündnis 90/Die Grünen,342,19,5.56
"Kühne, Dr. Roy",Dr_Roy_Kuehne,CDU,65,16,24.62
"Künast, Renate",RenateKuenast,Bündnis 90/Die Grünen,4796,386,8.05
"Kurth, Markus",markuskurthmdb,Bündnis 90/Die Grünen,82,18,21.95
"Lange, Christian",LangeMdB,SPD,261,18,6.9
"Lange, Ulrich",UlrichLange,CSU,0,0,0
"Launert, Dr. Silke",DrLaunert,CSU,0,0,0
"Lauterbach, Dr. Karl",Karl_Lauterbach,SPD,2696,1426,52.89
"Lay, Caren",CarenLay,Die Linke,701,141,20.11
"Lazar, Monika",monikalazar,Bündnis 90/Die Grünen,332,29,8.73
"Leidig, Sabine",SabineLeidig,Die Linke,301,44,14.62
"Leikert, Dr. Katja",KLeikert,CDU,619,84,13.57
"Lemke, Steffi",SteffiLemke,Bündnis 90/Die Grünen,249,15,6.02
"Lenz, Dr. Andreas",DerLenzMdB,CSU,664,117,17.62
"Leutert, Michael",MichaelLeutert,Die Linke,10,3,30.0
"Liebich, Stefan",berlinliebich,Die Linke,2153,119,5.53
"Lindholz, Andrea",AndreaLindholz,CSU,0,0,0
"Lindner, Dr. Tobias",tobiaslindner,Bündnis 90/Die Grünen,253,11,4.35
"Lötzsch, Dr. Gesine",LoetzschMdB,Die Linke,318,36,11.32
"Luczak, Dr. Jan-Marco",JM_Luczak,CDU,882,79,8.96
"Lutze, Thomas",thlutze,Die Linke,0,0,0
"Magwas, Yvonne",YvonneMagwas,CDU,6,0,0
"Manderla, Gisela",ManderlaGisela,CDU,132,19,14.39
"Mattfeldt, Andreas",AMattfeldt,CDU,0,0,0
"Mattheis, Hilde",HildeMattheis,SPD,386,74,19.17
"Meister, Dr. Michael",meister_schafft,CDU,241,22,9.13
"Metzler, Jan",JanMetzler,CDU,0,0,0
"Michelbach, Dr. Hans",hans_michelbach,CSU,9,2,22.22
"Mihalic, Irene",IreneMihalic,Bündnis 90/Die Grünen,372,17,4.57
"Mindrup, Klaus",KlausMindrup,SPD,270,20,7.41
"Möhring, Cornelia",Conni_Moehring,Die Linke,527,66,12.52
"Möring, Karsten",KarstenMoering,CDU,9,0,0
"Movassat, Niema",NiemaMovassat,Die Linke,4678,612,13.08
"Müller, Bettina",BetMueller,SPD,179,39,21.79
"Müller, Carsten",CarstenMuellers,CDU,0,0,0
"Müller, Stefan",smuellermdb,CSU,258,22,8.53
"Müller-Gemmeke, Beate",GrueneBeate,Bündnis 90/Die Grünen,164,43,26.22
"Müller, Norbert",Norbert_MdB,Die Linke,173,14,8.09
"Neu, Dr. Alexander",AlexanderSNeu,Die Linke,318,20,6.29
"Nick, Dr. Andreas",DrAndreasNick,CDU,440,24,5.45
"Nissen, Ulli",UlliNissen,SPD,1081,110,10.18
"Nord, Thomas",NordMdb,Die Linke,349,40,11.46
"Notz, Dr. Konstantin von",KonstantinNotz,Bündnis 90/Die Grünen,822,60,7.3
"Nouripour, Omid",nouripour,Bündnis 90/Die Grünen,552,25,4.53
"Oellers, Wilfried",WilfriedOellers,CDU,0,0,0
"Oppermann, Thomas",ThomasOppermann,SPD,124,20,16.13
"Oßner, Florian",Florian_Ossner,CSU,7,1,14.29
"Özdemir, Cem",cem_oezdemir,Bündnis 90/Die Grünen,945,100,10.58
"Özdemir, Mahmut",oezdemir_spd,SPD,80,2,2.5
"Özoguz, Aydan",oezoguz,SPD,1042,58,5.57
"Pantel, Sylvia",SylviaPantel,CDU,38,9,23.68
"Paschke, Markus",MarkusPaschke,SPD,41,10,24.39
"Pau, Petra",PetraPauMaHe,Die Linke,528,39,7.39
"Paus, Lisa",lisapaus,Bündnis 90/Die Grünen,788,78,9.9
"Petry, Christian",CPetryMdB,SPD,60,5,8.33
"Post, Achim",Achim_P,SPD,506,83,16.4
"Post, Florian",FlorianPost,SPD,232,23,9.91
"Pronold, Florian",FlorianPronold,SPD,54,6,11.11
"Rabanus, Martin",MartinRabanus,SPD,0,0,0
"Radwan, Alexander",AlexanderRadwan,CSU,0,0,0
"Rawert, Mechthild",MechthildRawert,SPD,78,7,8.97
"Renner, Martina",MartinaRenner,Die Linke,1306,69,5.28
"Rimkus, Andreas",Andreas_Rimkus,SPD,611,35,5.73
"Rix, Sönke",SoenkeRix,SPD,478,68,14.23
"Rohde, Dennis",DennisRohde,SPD,260,5,1.92
"Rosemann, Dr. Martin",MartinRosemann,SPD,338,53,15.68
"Rossmann, Dr. Ernst Dieter",edrossmann,SPD,97,11,11.34
"Rößner, Tabea",TabeaRoessner,Bündnis 90/Die Grünen,535,71,13.27
"Roth, Michael",MiRo_SPD,SPD,1756,213,12.13
"Rüddel, Erwin",Erwin_Rueddel,CDU,715,220,30.77
"Rüffer, Corinna",crueffer,Bündnis 90/Die Grünen,56,13,23.21
"Rüthrich, Susann",SusannRuethrich,SPD,0,0,0
"Saathoff, Johann",Johann_Saathoff,SPD,112,2,1.79
"Sarrazin, Manuel",ManuelSarrazin,Bündnis 90/Die Grünen,165,7,4.24
"Schauws, Ulle",ulle_schauws,Bündnis 90/Die Grünen,449,28,6.24
"Scheuer, Andreas",AndiScheuer,CSU,78,8,10.26
"Schiefner, Udo",UdoSchiefner,SPD,3,0,0
"Schimke, Jana",JanaSchimke,CDU,116,30,25.86
"Schipanski, Tankred",TSchipanski,CDU,323,45,13.93
"Schmidt, Dagmar",dieschmidt,SPD,30,3,10.0
"Schneider , Carsten",schneidercar,SPD,321,31,9.66
"Schnieder, Patrick",PSchnieder,CDU,86,3,3.49
"Schön, Nadine",NadineSchoen,CDU,153,4,2.61
"Schulz-Asche, Kordula",K_SA,Bündnis 90/Die Grünen,1366,231,16.91
"Schummer, Uwe",UweSchummer,CDU,1330,164,12.33
"Schuster, Armin",armin_schuster,CDU,100,20,20.0
"Schwabe, Frank",FrankSchwabe,SPD,680,43,6.32
"Schwartze, Stefan",s_schwartze,SPD,55,11,20.0
"Schwarz, Andreas",Schwarz_MdB,SPD,800,43,5.38
"Schwarzelühr-Sutter, Rita",rischwasu,SPD,278,22,7.91
"Sensburg, Prof. Dr. Patrick",PatrickSensburg,CDU,49,5,10.2
"Siebert, Bernd",BerndSiebert,CDU,9,0,0
"Sitte, Dr. Petra",Petra_Sitte_MdB,Die Linke,293,24,8.19
"Sorge, Tino",TinoSorge,CDU,254,89,35.04
"Spahn, Jens",jensspahn,CDU,314,136,43.31
"Spiering, Rainer",rainerspiering,SPD,0,0,0
"Stadler, Svenja",stadler_svenja,SPD,296,8,2.7
"Stamm-Fibich, Martina",stamm_fibich,SPD,28,5,17.86
"Steffel, Dr. Frank",franksteffel,CDU,33,2,6.06
"Steffen, Sonja",SteffenSonja,SPD,49,7,14.29
"Stefinger, Dr. Wolfgang",StefingerMdB,CSU,42,10,23.81
"Steineke, Sebastian",SteinekeCDU,CDU,2163,210,9.71
"Steiniger, Johannes",JoSteiniger,CDU,649,39,6.01
"Stetten, Christian Freiherr von",Stettenchris,CDU,0,0,0
"Storjohann, Gero",gero_storjohann,CDU,128,17,13.28
"Strengmann-Kuhn, Dr. Wolfgang",W_SK,Bündnis 90/Die Grünen,282,28,9.93
"Tackmann, Dr. Kirsten",KirstenTackmann,Die Linke,570,11,1.93
"Tauber, Dr. Peter",petertauber,CDU,603,15,2.49
"Thews, Michael",michael_thews,SPD,406,67,16.5
"Träger, Carsten",CarstenTraeger,SPD,71,8,11.27
"Tressel, Markus",MarkusTressel,Bündnis 90/Die Grünen,201,36,17.91
"Trittin, Jürgen",JTrittin,Bündnis 90/Die Grünen,867,120,13.84
"Ullrich, Dr. Volker",VolkerUllrich,CSU,341,37,10.85
"Verlinden, Dr. Julia",julia_verlinden,Bündnis 90/Die Grünen,454,8,1.76
"Vogler, Kathrin",voglerk,Die Linke,701,47,6.7
"Vogt, Ute",UteVogt,SPD,80,5,6.25
"Vries, Kees de",KEESdeVriesCDU,CDU,0,0,0
"Wagenknecht, Dr. Sahra",SWagenknecht,Die Linke,236,74,31.36
"Walter-Rosenheimer, Beate",BeateWaRo,Bündnis 90/Die Grünen,42,3,7.14
"Wadephul, Dr. Johann",JoWadephul,CDU,262,9,3.44
"Wanderwitz, Marco",wanderwitz,CDU,1493,120,8.04
"Warken, Nina",ninawarken,CDU,79,1,1.27
"Weber, Gabi",GabiWeberSPD,SPD,10,1,10.0
"Wegner, Kai",kaiwegner,CDU,433,66,15.24
"Weinberg, Harald",HaraldWeinberg,Die Linke,0,0,0
"Weinberg, Marcus",MarcusWeinberg,CDU,194,27,13.92
"Weisgerber, Dr. Anja",anjaweisgerber,CSU,148,28,18.92
"Weiß, Peter",PeterWeissMdB,CDU,0,0,0
"Wellenreuther, Ingo",Wellenreuther,CDU,0,0,0
"Wendt, Marian",MdbWendt,CDU,426,43,10.09
"Werner, Katrin",Katrin_Werner,Die Linke,164,32,19.51
"Whittaker, Kai",Kai_Whittaker,CDU,435,94,21.61
"Widmann-Mauz, Annette",AWidmannMauz,CDU,397,41,10.33
"Wiese, Dirk",DirkWieseSPD,SPD,744,32,4.3
"Zdebel, Hubertus",ZdebelHubertus,Die Linke,91,25,27.47
"Zech, Tobias",TobiasZech,CSU,11,2,18.18
"Zierke, Stefan",zierke,SPD,0,0,0
"Zimmer, Prof. Dr. Matthias",matthiaszimmer,CDU,176,8,4.55
"Zimmermann, Dr. Jens",JensZSPD,SPD,812,100,12.32
"Müller, Detlef",MuellerChemnitz,SPD,853,66,7.74
"Abercron, Dr. Michael von",mvabercron,CDU,106,15,14.15
"Achelwilm, Doris",DorisAchelwilm,Die Linke,400,43,10.75
"Akbulut, Gökay",AkbulutGokay,Die Linke,508,54,10.63
"Aschenberg-Dugnus, Christine",cad59,FDP,210,53,25.24
"Aumer, Peter",PeterAumer,CSU,4,0,0
"Badum, Lisa",badulrichmartha,Bündnis 90/Die Grünen,133,7,5.26
"Barrientos Krauss, Simone",SBarrientosK,Die Linke,264,39,14.77
"Bause, Margarete",MargareteBause,Bündnis 90/Die Grünen,127,6,4.72
"Bayaz, Dr. Danyal",DerDanyal,Bündnis 90/Die Grünen,1420,154,10.85
"Bayram, Canan",LieblingXhain,Bündnis 90/Die Grünen,1313,135,10.28
"Beeck, Jens",jensbeeck,FDP,43,9,20.93
"Bernhard, Marc",MarcBernhardAfD,AfD,364,80,21.98
"Bernstiel, Christoph",c_bernstiel,CDU,12,2,16.67
"Beutin, Lorenz Gösta",lgbeutin,Die Linke,3248,414,12.75
"Beyer, Peter",Peter_Beyer,CDU,236,45,19.07
"Bleck, Andreas",AndreasBleckMdB,AfD,100,9,9.0
"Boehringer, Peter",PeterBoehringer,AfD,110,53,48.18
"Brandenburg, Dr. Jens",JBrandenburgFDP,FDP,536,33,6.16
"Brandenburg, Mario",BraFDP,FDP,381,49,12.86
"Brandner, Stephan",StBrandner,AfD,4372,166,3.8
"Brandt, Michel",michel_brandt_,Die Linke,554,53,9.57
"Brehm, Sebastian",Brehm_inNBGNord,CSU,1,1,100.0
"Breymaier, Leni",LeniBreymaier,SPD,406,41,10.1
"Brandl, Dr. Reinhard",reinhardbrandl,CSU,1,0,0
"Bühl, Marcus",Marcus_Buehl,AfD,184,20,10.87
"Bull-Bischoff, Birke",Birke_Bull,Die Linke,79,8,10.13
"Buschmann, Dr. Marco",MarcoBuschmann,FDP,4787,390,8.15
"Büttner, Matthias",Buettner_MdB,AfD,85,22,25.88
"Bystron, Petr",PetrBystronAfD,AfD,775,31,4.0
"Cezanne, Jörg",joerg_cezanne,Die Linke,25,1,4.0
"Christmann, Dr. Anna",annachristmann,Bündnis 90/Die Grünen,329,71,21.58
"Cotar, Joana",JoanaCotar,AfD,1857,213,11.47
"Curio, Dr. Gottfried",GottfriedCurio,AfD,132,16,12.12
"De Masi, Fabio",FabioDeMasi,Die Linke,5733,593,10.34
"Domscheit-Berg, Anke",anked,Die Linke,3113,530,17.03
"Chrupalla, Tino",Tino_Chrupalla,AfD,307,67,21.82
"Droese, Siegbert",Siegbert_Droese,AfD,0,0,0
"Dürr, Christian",christianduerr,FDP,376,42,11.17
"Ebbing, Hartmut",HartmutEbbing,FDP,161,30,18.63
"Ehrhorn, Thomas",Thomas_Ehrhorn,AfD,24,0,0
"Elsner von Gronow, Berengar",ElsnervonGronow,AfD,138,17,12.32
"Erndl, Thomas",TErndl,CSU,174,19,10.92
"Espendiller, Dr. Michael",DrMEspendiller,AfD,654,65,9.94
"Faber, Dr. Marcus",MarcusFaber,FDP,322,26,8.07
"Felser, Peter",PeterFelser,AfD,184,44,23.91
"Schmidt, Stefan",Schmidt_MdB,Bündnis 90/Die Grünen,87,3,3.45
"Föst, Daniel",DFoest,FDP,1560,155,9.94
"Fricke, Otto",Otto_Fricke,FDP,2011,51,2.54
"Friesen, Dr. Anton",DrFriesenMdB,AfD,407,101,24.82
"Frohnmaier, Markus",Frohnmaier_AfD,AfD,154,23,14.94
"Frömming, Dr. Götz",GtzFrmming,AfD,1878,209,11.13
"Gabelmann, Sylvia",SylviaGabelmann,Die Linke,134,37,27.61
"Gehrke, Dr. Axel",axelgehrke,AfD,5,2,40.0
"Gelbhaar, Stefan",StefanGelbhaar,Bündnis 90/Die Grünen,780,41,5.26
"Gottberg, Wilhelm von",vonGottberg_AfD,AfD,0,0,0
"Gottschalk, Kay",KayGottschalk1,AfD,198,10,5.05
"Gremmels, Timon",Timon_Gremmels,SPD,798,65,8.15
"Jensen, Gyde",GydeJ,FDP,537,52,9.68
"Hacker, Thomas",hacker_fdp,FDP,210,36,17.14
"Hagl-Kehl, Rita",RitaHaglKehl,SPD,4,2,50.0
"Harder-Kühnel, Mariana",M_HarderKuehnel,AfD,76,7,9.21
"Hartwig, Dr. Roland",R_Hartwig_AfD,AfD,145,7,4.83
"Haug, Jochen",Jochen_Haug,AfD,4,0,0
"Helling-Plahr, Katrin",KatrinHelling,FDP,263,23,8.75
"Hemmelgarn, Udo",UdoHemmelgarn,AfD,1177,274,23.28
"Henrichmann, Marc",MarcHenrichmann,CDU,235,45,19.15
"Herbst, Torsten",torstenherbst,FDP,430,83,19.3
"Herdt, Waldemar",WaldemarHerdt,AfD,0,0,0
"Herrmann, Lars",hermiworld,AfD,14,1,7.14
"Hess, Martin",Martin_Hess_AfD,AfD,233,26,11.16
"Hessel, Katja",fdp_hessel,FDP,75,15,20.0
"Höchst, Nicole",Nicole_Hoechst,AfD,157,26,16.56
"Höferlin, Manuel",ManuelHoeferlin,FDP,192,27,14.06
"Höhn, Matthias",MatthiasHoehn,Die Linke,393,23,5.85
"Holm, Leif-Erik",Leif_Erik_Holm,AfD,66,12,18.18
"Holtz, Ottmar von",OWvonHoltz,Bündnis 90/Die Grünen,103,6,5.83
"Houben, Reinhard",HoubenReinhard,FDP,115,9,7.83
"Jongen, Dr. Marc",Marc_Jongen,AfD,58,17,29.31
"Jung, Dr. Christian",c_jung77,FDP,1575,208,13.21
"Jung, Ingmar",Ingmar_Jung,CDU,8,1,12.5
"Juratovic, Josip",josip_juratovic,SPD,61,7,11.48
"Kaiser, Elisabeth",Kaiser_SPD,SPD,234,32,13.68
"Kartes, Torbjörn",KartesMdB,CDU,22,6,27.27
"Katzmarek, Gabriele",GabyKatzmarek,SPD,18,0,0
"Kessler, Dr. Achim",AchimKesslerMdB,Die Linke,721,163,22.61
"Kestner, Jens",KestnerJens,AfD,253,11,4.35
"Keuter, Stefan",StefanKeuterAfD,AfD,0,0,0
"Kleinwächter, Norbert",NKleinwaechter,AfD,144,37,25.69
"Kluckert, Daniela",DanielaKluckert,FDP,430,92,21.4
"Kober, Pascal",PascalKober,FDP,59,9,15.25
"Köhler, Dr. Lukas",koehler_fdp,FDP,459,22,4.79
"Komning, Enrico",EnricoKomning,AfD,22,2,9.09
"Konrad, Carina",carina_konrad,FDP,414,71,17.15
"Korkmaz-Emre, Elvan",KorkmazGT,SPD,197,11,5.58
"Kotré, Steffen",SteffenKotre,AfD,155,16,10.32
"Krauß, Alexander",kraussalex,CDU,0,0,0
"Kuffer, Michael",MichaelKuffer,CSU,10,0,0
"Kuhle, Konstantin Elias",KonstantinKuhle,FDP,1585,123,7.76
"Lambsdorff, Alexander Graf",Lambsdorff,FDP,1042,90,8.64
"Lehmann, Sven",svenlehmann,Bündnis 90/Die Grünen,913,99,10.84
"Lindh, Helge",helgelindh,SPD,248,47,18.95
"Lindner, Christian",c_lindner,FDP,1211,183,15.11
"Link, Michael",michael_g_link,FDP,133,16,12.03
"Löbel, Nikolas",NikolasLoebel,CDU,191,21,10.99
"Lucassen, Rüdiger",MdB_Lucassen,AfD,26,5,19.23
"Luksic, Oliver",OlliLuksic,FDP,2624,392,14.94
"Maas, Heiko",HeikoMaas,SPD,672,107,15.92
"Maier, Jens",JensMaierAfD,AfD,403,40,9.93
"Maier, Prof. Dr. Lothar",ProfMaier,AfD,117,20,17.09
"Matschie, Christoph",matschie,SPD,74,8,10.81
"Meiser, Pascal",pascalmeiser,Die Linke,187,38,20.32
"Meyer, Christoph",ChristophFDP,FDP,1136,112,9.86
"Miazga, Corinna",CorinnaMiazga,AfD,77,28,36.36
"Mohrs, Falko",FalkoMohrs,SPD,55,6,10.91
"Mrosek, Andreas",mrosek1958,AfD,275,13,4.73
"Müller, Claudia",GruenClaudia,Bündnis 90/Die Grünen,690,57,8.26
"Müller, Sepp",mueller_sepp,CDU,400,54,13.5
"Müller-Böhm, Roman",muellerboehm,FDP,4,3,75.0
"Münzenmaier, Sebastian",S_Muenzenmaier,AfD,440,113,25.68
"Nastic, Zaklin",ZaklinNastic,Die Linke,435,52,11.95
"Freihold, Brigitte",MdB_Freihold,Die Linke,230,30,13.04
"Nestle, Dr. Ingrid",Ingrid_Nestle,Bündnis 90/Die Grünen,412,39,9.47
"Neumann, Christoph",Neumann_AfD,AfD,0,0,0
"Nolte, Jan",Jan_Nolte_AfD,AfD,115,2,1.74
"Oehme, Ulrich",Ulrich_Oehme,AfD,0,0,0
"Ortleb, Josephine",joloulou,SPD,40,4,10.0
"Oster, Josef",josefoster,CDU,0,0,0
"Pasemann, Frank",Frank_Pasemann,AfD,398,28,7.04
"Pellmann, Sören",LINKEPELLI,Die Linke,789,90,11.41
"Perli, Victor",victorperli,Die Linke,687,93,13.54
"Peterka, Tobias",TobiasMPeterka,AfD,482,112,23.24
"Petry, Dr. Frauke",FraukePetry,Fraktionslos,587,45,7.67
"Pflüger, Tobias",tpflueger,Die Linke,110,7,6.36
"Pilsinger, Stephan",StephPilsinger,CSU,13,5,38.46
"Podolay, Paul Viktor",Paul_Podolay,AfD,3,1,33.33
"Pohl, Jürgen",Pohl_MdB,AfD,63,11,17.46
"Polat, Filiz",filizgreen,Bündnis 90/Die Grünen,557,56,10.05
"Protschka, Stephan",AfDProtschka,AfD,956,157,16.42
"Reichardt, Martin",M_Reichardt_AfD,AfD,724,77,10.64
"Remmers, Ingrid",Ingrid_Remmers,Die Linke,44,2,4.55
"Renner, Martin Erwin",Renner_AfD,AfD,199,19,9.55
"Riexinger, Bernd",b_riexinger,Die Linke,546,106,19.41
"Reuther, Bernd",reuther_bernd,FDP,129,18,13.95
"Ullrich, Gerald",G_UllrichFDP,FDP,379,85,22.43
"Rouenhoff, Stefan",StefanRouenhoff,CDU,22,2,9.09
"Sattelberger, Thomas",th_sattelberger,FDP,2117,212,10.01
"Schäfer, Anita",SchaeferCDU,CDU,0,0,0
"Schäffler, Frank",f_schaeffler,FDP,844,84,9.95
"Scheer, Nina",NinaScheer_SPD,SPD,34,5,14.71
"Schielke-Ziesing, Ulrike",ulschzi,AfD,312,57,18.27
"Schinnenburg, Dr. Wieland",WSchinnenburg,FDP,207,40,19.32
"Schmid, Dr. Nils",NilsSchmid,SPD,477,75,15.72
"Schneider, Jörg",Schneider_AfD,AfD,348,43,12.36
"Schraps, Johannes",jschraps,SPD,37,3,8.11
"Schreiner, Felix",felixschreiner,CDU,77,19,24.68
"Schrodi, Michael",mischrodi,SPD,211,15,7.11
"Schulz, Martin",MartinSchulz,SPD,46,4,8.7
"Schulz, Uwe",Uwe_Schulz_AfD,AfD,25,7,28.0
